twitts,sentiment
people are boo lovin in up,0
dabusstop thats terrible i enjoy being with you every minute,0
garms of course lady,1
back from lunch sleepier than before mondays suck,0
ngidam sour sally,0
robgrace let me know by text if you find out about the job i am leaving in about 20 mins x,0
jennec_rrt gmorning of course i am awake,1
needs a pete hug,0
burbankboy oops it is only for residents of canada,0
my back is killing meheavy furniture is not fun on tiny sf stairs at least our place looks awesome,0
someone got strawberry in my mint chocolate chip and you were right scooping this ice cream does suck,0
i shud hav a pic now ugg i hav 2 go to a club ting at 10 and i shud be in bed uugghh and the evil pigion is walkin 2wards meh,0
goodnight tweetweemates,1
i think this is gonna be another one of those nights that i am up until 3 i am doing work hug me,0
ubertwitter what gives my new tweets on 75 werent ringing on 78 the keyboard would not go away gotta try a new app i guess,0
just got two beautiful new dressesif only i had somewhere to wear them,0
i dont want to sleep alone,0
xxmarypoppinsxx well yeah,0
ugh preparing to take charlie far away so he can start his trip i hate it,0
in an homage to his girl friday i decided to rock a pencil skirt a wide shouldered belted sweater no iphone no pic squarespace,0
cardboxdiva headed to the imperia,1
blwbyrd thanks just hope it lasts until i have got some free time p,1
well my friend cancelled lunch she thinks she is sick all dressed up and no where to go,0
thatsamgirl lol your cute twitters ok it didint save my changes,0
pinkyboo2 ohh i think i know what your on about i miss you to im back sunday,0
suzanne1971 good luck,1
the people i thought would be there arent,0
twitter is a microblog therefore not a proper place to mock people around geez indonesians and tech do not belong together,0
good ampm twitterverse how are you all doing i somehow survived yesterdays bout w heart palpitations thanks 4 praying,1
tauiwi i have heard and i have been a fan since hopes and fears too hopefully they have another uk leg of their tour when i am there,0
okey dokey i am offdont miss me too much,1
alliances best practices stalwartcom podcast with yours truly glossing over alignment metrics topics,1
first fathers day without my fajah but it is the first official day of summer so spring showers go away,0
ubersandman love that game kept me going over xmas,1
jordan_marshall my mum does that all the time an like my 68 yr old cousins love hannah montana so i just get called,0
my coffee was cold and tasted a little icky now i have a decision to make i hate decisions,0
past 300g all thanks to fable 2,1
gtvone oh come on live the double decker front row as you should live london taste the good of this city,1
my following followers and updates were all multiples on 10 just now now i am uneasy as 2 are uneven,0
eating strongbow with a side of toast,1
imasoom hey even i wanna watch angels and demons i like tom hanks but no time to watch,0
pulpjedi aww i thought you would be here at stbx,0
going outside i like to feel the rain on my skin yes i am weird i know,1
my stomach still feels just as bad as it did this morning if not worse,0
twassed want to be checking on samantharonson and all that jazz but sadly bed is more appealing oap alert,0
cristinapm28 aduh you sound like you need pointers,1
congratulation diversity they are best but i really loved holly steel 2 but i think it is for the best so yeah bgt rocks,1
aww jeremy youre so sweet buddy and do not worry youll never loose me to someone else,1
i see you babes follow my boy realtalk24 msmariag butterscotchbre cheeksgreatbarz,1
jpmicek very cool good for you things are going great here had a great day with the virtual workshop,1
beat bubba at pool haha anyways going to bed,1
pilotnl thanks for the reminder yes he is,1
guitar hero smash hits is awesome beat the game already though still cannot 5 star play with me cause no hyperspeed,0
they have been giving me stomachache and so much drowsiness,0
warped09 postal service is taking it is sweet time or someone is taking their sweet time sticking them in the mail,0
thornberrylara i bet wikipediagoogle just took a hammering for torticollis poor girl,0
still have no space for food to swallow since my sisters sushi party yesterday,0
cannot believe that the record stores already out of mariedigbys breathing underwater album sold out already,0
stephenfry raining in the west end now,0
monmouth for breakfast there is nothing like a 6am start,0
lopchelle just got inare you feeling better today sounds like there is a little health drama going on in your world today sorry,0
i remember when we kissed i still feel it on mi lips,1
justinmoorhouse bet youre shattered after such a hectic week and you have got to sit on a train back in this hot weather x,0
johngreenaway yes i usually have a stockpile of them but i am all out thanks for reminding me throat been in agony for a week now,0
andrewpycroft i know,0
jmanthemovieman aw i am sorry for your loss,0
morning all nicest sleep ever last night now a loovely day and gyymm woo,1
blackice36 yes and yes why do you ask,1
is all alone,0
going to bedoff to the desert at 730am gone for the weekend,1
mm shower and in bed now goodnight world sleep tight,1
mishkaottawa i am upgrading to wp 28 too crossing fingers lol,1
goodnight my tweets,1
is sad that ca could not just let people love regardless of sexual orientation,0
gotta long day today,0
emzyjonas hahah i was like crying when they played fly with me lol its just so beautiful lol,1
dougiemcfly have a great show doug have fun im sorry that i wont be there to watch you,0
damn it tommy haas lost after winning the first 2 sets,0
gtg to beanbag again my chicas are there haha hey catch me tomorrow 123pm on ok fm,1
floiskie omg irvin and triffy are both resigning i am losing friends in ogdi when i get back there i might not know anyone anymore,0
tza_unlimited very cool tks for letting me know,1
jrvertido really wow why kuya,0
alexandrathegr8 so what did you came up with,1
despite not really being into snsd the preview for ìì ëí ë sounds awesome also sunny needs to stop being so hot i covet her haair,0
guess ill sing for my mom next sunday when my grandparents are here,1
vivelelance demented owl with its tongue sticking out yes i did ask this yesterday but never got a reply lol,1
let see its friday that is a plus it rained so the bike stayd home that is a minus so far for the day its even,0
beebalmdancer groton saw pj back in 98 good times theyre playin outsidelands the night before dave,1
giznad definitely too bad it is so clearly about judith marie keenan pretty cool though,0
cleaning my roombleh ebsam,1
mattchevy wow congratulations matt wishing the best to you both,1
happy monday everyone i just want to crawl back into bed and snuggle with my catbut no got to go to worksigh,1
he haunts my dreams night after night whyy,0
tom_one weell just couldnt be bothered to stay there so in the park atm work goodx,1
stokegriff scary i do not like flying this reminds me why,0
im dying without my phone rite now,0
detsportsbeat why thank you,1
1capplegate ubertwitter is great its fast and is way better than twitterberry,1
back to setting tobacco soon i guess,0
ashleegaston if you want to see someones comments you can just follow them,1
jonas_dreamgirl hey can you join this jb fansite please it is for western australians invite peeps too,1
d_dolittle strangly enough i cannot see any of your tweets lol,0
five days ago we were waiting to see the jonas brothers and demi lovato i am sad,0
bluetooth13 your grandma is not cool she keeping them all wheres her twitter account gonna ask her for that,0
anacriscrod trouble with tribbles dear tribbles are students of course a hell of a migraine fever and no thisposition sorry,0
are any of you ghostbusters fans please click here and support the movie by voting it is important,1
can i request the decemberists for the lowlands festival this august please,1
is soo addicted of bradley james does he have a twitter account,1
a_simple_girl okaywellfine no seriously i am on it bye,0
backstreetboys sure i follow him,1
rosieejones i agree with the whole hollie thing,0
im making the amazing downtown la hot dogs,1
boilerfan_98 i need to try roscoes you need to recap your 5 for me when you get a chance,1
that was an easy history test,1
adreamforsteph ok house was sad,0
vampjunki i know,0
lala thank god it is friday,1
outlet shopping,1
popstarmagazine im so ready for this,1
katieparsons now you did not set that off on purpose by any chance did ya,1
coffeedaze your in luck its the weekend no construction,1
i need to sit my insides hurt ughh,0
thursday cannot come soon enough i miss joshua,0
how many times can i break till i shatter,0
mariapetersen of course i do,1
sammys was a bust due to girlfriends drama at least i picked up two hot pairs of pumps and a fab pair of suede boots for the fall,0
psychwrites man i missed the questions work got in the way i will save mine for next time thanks anupam and jason,0
caffeinesparks lattex cocoy what can the world do to stop nokor seems like a tantrum that went way out of hand,0
i need to move away from this river lol so many bugs skeeters our state bird,1
fashionjunkie12 im not feeling this no party business,0
sick again and put into some sort of tibetanherb induced coma that has been amazing twitter when i am lucid love love love,1
atuarre he is probably really hungry one time we were away for two weeks our dogs snubbed us when we came home,1
ouch i have gotten jack squat done today bad me lizfail,0
for gods sake this is not karunanidhis govt via shankargan,0
richardblais that is too big for anything but stuffing though,1
deadlisyn ps your pic shows up now yayy,1
i love my new nivea lipbalm,1
i am excited about cake class 3 tonight i am a nerd,1
debra_elana haha thanks ps can we play sometime this week,1
nice warm lazy day today and yesterday what should i backe i wonder,1
great job by lakers in closing out the series last night great contributions by many players time to start working on the repeat,1
thinkreferrals darn could only pray for that i am probably gonna start saving for a new desktop and build it from scratch,1
myinerchld i will def ask too i need sleep,1
must clean house but i do not want to,0
radicoon i am on a boat,1
i had 10 hours sleep last night whoo break out the champane xd,1
yesterday night i made a cake with lizzieke and after i watched sweeney todd with dynask it was a fantastic night,1
stole a road sign last night how do i give it back also full time job to me,1
kimaglick yehi am still here petrifyingare you ready for the trailer tonight rememberwe have a date for that movie also,0
feel the it is kicking in noo,0
twoninesix the secondhalf was simply heartbreaking was not it i have watched it three times already and i still cried,0
i just had the scariest dream ever,0
summer vacation here and now planning no idea yet,0
wwfreericecom learning and providing aid go me,1
piano recital is done now to finish spanish,1
i do not feel good,0
got my 30 minutes of cardio in for today so did ava,1
csbseal lol and look speak of the devil himself,1
google search produced stock market soars in lateday rally retailers sales figures and next friday based banks make headway,0
tommcfly eclipse is awesome it is better than new moon,1
auto response that i set up for certain groups ppl it was so nice to see my fellow associates takin up for me while i was gone,1
diaperdiaries i actually said that to myself today,0
jordanknight is what i am reading correct nkotb have cancelled to oz tour please tell me it is not true,0
and now i bet you that my mouth is all green i am going to go look in a mirror and see,1
mileyspersonal good luck with the moviething or whatever,1
nicolaquinn enjoying the sun not working had a good opportunity come and go thislast week,0
shoediva80 we are so twins,0
nerdz4l wats uncool im sorry i told you i wasnt gonna make it 3,0
ugh ugh haha i wanted to copy amber aight ima go shower before it gets later ill holla when i get out haha,1
cancerscore sigh no answer to my email from a couple days ago and send me a copy too lol whatever it is lolol,0
maybe i fell too hard too fast maybe thats why i am crying i love him too much but i guess he didnt love me back,0
msdivineknighthangs head in shame i was weak all the blocheads out there i am sorry,0
jesshatchigan congrats,1
cjdouthitt i think we should go on and plan kings island,1
has a major sore throat sick today,0
poisonivy2425 yess that is how i feel when i dont watch them for a bit lovee them,1
twello foodie tweets spicy spicy spicy lunch im not having much luck with food,0
off to shipmates to watch the laker game lets go lakers,1
nancyhall benmack yep i have the cool hat now thanks to benthanks buddyluv ya peace,1
drinking starbuck coffee yummy,1
qandq my performances on my clep tests qshock,1
pretty bored i need something to do,0
does not know what to do go to the gym or go home,0
carlos_teran i cannot even look out the window haha,0
it is so close but were so faraway,0
i just finished putting my babys crib together i am beat,0
ohh that train crash is bad,0
wwdc has the iphone app sdk some kind of app icon maker i so love those,1
so buzy today i hardly had time to pee but now i am off for two whole days yay,0
i had a pleasant day i would say i had to take that pratice ap lang test this morning but it is all good,1
i just cleaned the kitchen living room my room did laundry in 3 hrs im exhausted but it feels soo good to sleep in clean sheets,1
shadow demi lovato love this song,1
liljoe213 i am surprised youre not sleepy too,1
is eating hansel mocha sandwich one of my favorite childhood snacks,1
hates the heat ang iniit,0
i better not with my luck it wouldnt make him sleepy and he would just be a surly drunken tot,0
had an incredible weekend bff visited from bmore sushi sake dancing in nyc with friends park on sun just what the dr ordered,1
j_riel prana carried but girll i miss you,0
caitliness i would be interested to see what it have a listen i still do not have it,1
ah my head everythin is too bright,0
downloading latest yahoo messenger for mac now could not get tweetdeck to install,0
well sprained my wrist todayhard to type,0
callmedingding do not laugh at me jerk i hurt,0
allisonballiet no it was awesome i blogged it im trying to fall asleep i didnt sleep last night not coming along very well,0
psuric any video of this,1
next dep meeting is june13 who wants to sign up with me so i can make some moneyyss,1
carlawang o it is well good and btw good pun on dr poovery original,1
fly with me jonasbrothers i cant wait for their music video premiere on thisney channel sunday at 8pm,1
so i think i need a new computer blue screen galore,0
back to work tonight,0
on our way 2 the mall the bankrupt hilo mall not 2 shop but 2 work off the sushi lol,1
spidersamm in the end i lost everyone your a beautiful girl inside and outtry and see what me and stacey see,1
i hope my mom enjoys her mothers day gift,1
fightfan24 i am fine fightfan i missed all of you guys,1
shayeparlade i havent watched it netopia is so lame kay they dont have the latest version of flash,0
its a brand new day make it a super great day happy monday,1
otcii yep,0
lpvunsigned inthhxyt foo access violation,0
india out of t20 so whose to blame m s dhoni or the entire set of bcci guys shame shame,0
janaalyssa yes i would love to unfortunately i do not think i can afford it oo my mum might be applying for a teacher exchange,0
gen y always lets us down,0
going out to get some munchies just deciding on what,1
dfizzy wow thats really terrible,0
jabogan it is a curse i mean i think all my chars do oh well at least i have an incentive to learncreate some,1
glue finally coming out i actually missed my short hair and after refreshing the colour i feel amazing,1
xxkara1679xx heyy goof whatcha up too i did not really talk to you much today,0
i am soo tired hubby is sick and has kept me awake for two nights i need some sleep off to bed now,0
leaving to branson today be back in three days,1
sblove_crafts in the beano with an ermine cape rippling muscles and a simon cowellstyle fluoro smile i think,1
coy0te oh you lucky ting you heard she was doing the latest tmobile ad in trafalger square recentlyhuge karaoke with her leading,1
yazz_a_bella and no im not coming for danis bday i just left what are yall doing,0
kathyireland ok i am shutting off my computerpromise i love you goodnight,1
abovecommon aww man thats spam,0
melindarice i will hope it is nothing too bad have a good day at work,1
wow late start today,0
taylorswift13 i have tickets for your show in edmonton ab this summer cant wait i think youre amazing,1
eh one more before i hit the hay can you handle something a little funky,1
anthonyjohnston chicken god im so the same so that makes two of us lol,1
is at work soo tired and bored,0
joieelectric well at least you got some sleep i am still up at 241 am i have had the strangest sleep schedule recently,0
thinking of shia and megan and wishing they knew i existed,0
billys graduation party then ryans then work i miss my joellea,0
it is 100 a necessity that i see ashley this summer i miss my best friend 2 years of not seeing eachother is ridiculously too long,0
you would think that it was impossible to miss the woman you sleep next to every night but somehow i do,0
tonight is a full moon beautiful i wounder if heve also seen it,1
marco_cali aww hello i am sorry i missed you youre probably getting ready to go to bed i hope youre doing well though,1
whoakeeley ughh i wish i could watch worlds today stupid workk and i wish i was gonna be there 6 days from not too,0
this is soo thistracting how am i supposed to get my work done i guess i cannot,1
i am jus sittin here lmfao i lovee you chellerenee80 why is it your last day,1
trying to find a tmobile phone cuz mine got smashed while we were moving into our new apartment,0
i do not wanna go to work 2night,0
look at you eating your vegetables getting all healthy,1
i miss gossip girlex oh ex ohno more no more,0
so arwin my dog just had puppies there so cute,1
all the rainbows in the sky start to weep then say goodbye you would not be seeing rainbows any more,1
my lips might fall off,0
i love you too,1
the hippie van thisappeared from that car place on monroe street oh so thisappointing,0
stop liking twilight that was the only thing that did not make me think of you at least you have not said anything about edward yet,0
joeandbehold well at least you know now that luck and god cannot factor into statistics,1
helpamotherout should have invited me i brighten any day ok i know corny but if you paid more youd get better jokes,1
the start of my day was finding a lump on my body went to the hospital apparently its nothing fewff bloodtests suck haha,0
taking my kia to permanently park it somewhere off our street i get confused switching back to it fiestamo,0
mathisonmoon happy birthday for sunny england x,1
no text,0
finally i am goint to sleep night night xx,1
wonderworld sty strong keep it up tell the cameracrew great job wonderworld live,1
wwfacebookcomcheliki add mebut put your twitter name as well so i do not confused,1
alright goodnight all i am off to watch some narnia once againwhy does taylor lautner have to be so young it is not fair,0
dwighthoward i always tell your brothers gf kimi to tell you that youre my fav player of all time but good gamme tonight,1
i want more cake,0
omg i hate when i am trying to go to sleep and i hear my hello kitty watch ticking it is the only thing that is keeping me awake,0
a truly fantastic daybut now i cannot sleep,0
gabrielsaporta even when i am drunk i love you you will always be my number one hero no pressure,1
whitneystone about the tick wow that sucks about the pool shame youre like 45 minutes away it makes me sad,0
i still miss henry,0
a lil thissapointed wthe way the warewolfs look in new moon,0
what a crappy dayequally depressing i am going to the cemetary 1st time since the funeralhappy 90th birthday papa,0
piperxp and of the truth of it or lack of truth it is a position i cannot put myself in but can only be all pondery about,1
mzmraz just realized how that sounded i meantin the story,1
lucy_lilly aww poor thing bad times xx,0
krissielee_ no one apart from lex sadly sorry babe,0
hanging out with someone special,1
nateflynn you are pretty much the awesomest person i know,1
jdm525 aye it is an amazing movie,1
dos mas post to go till i am up to 200,1
getting in the groove at work unfortunately i am in pain againstill this is terriblei dont want to take meds this early in the day,0
stressful day,0
natalieaxismyst was just therebut no phone how can you stand the heat,0
jranddulce yeah,1
dannywood unfortunately i am gonna have to miss this one this time around,0
don_fuchs thanks for following me i like your photos in the best of outback tracks magazine nothing better than a tour to the outback,1
caitline really i know of one that my dad likes i have never gotten to go to any though,0
i think my fish fiskulf might have become depressed all he does is hang around on the bottom of the tank all day and barely eats,0
leaving san francisco early i miss my dogs,0
shey_ oh ok congrats i go to smc u,1
chrismou river city guy who was my lecturer i could get a sponsored bursery i just do not know if i want to go back to uni for 2 years,0
robbiee aha ok i might see you there yano,1
lucykd just stilletos tell herr dr cavorting more,1
mjschrader i will be right there with the lawnmower i will do it on my layover in dallas tomorrow whatcha cookin for dinner,1
has a migraine today,0
imissyou lah,0
finished my lst kate white murder mystery ordered 3 more of her 4 set series so many suspects i didnt guess the killer,1
anyone going to america this week i want the new ghostbusters game it is region free but would not be on xbox360 here for a while,0
good morning,1
twitter makes uploading photos easier on the go,1
wishes making food was as easy as snapping your fingers it is like snap and bam instant sandwich in front of you i am so hungry,0
tommcfly if there is ever a celebrity deal or no deal i shall campaign to get you on it,1
omg ghost whispeper stop making me cry why does everyone good die and she does not even know they are a ghost,0
jewels919 sending you some good vibes to sort it all out,1
lovely sunny evening happy sunday x,1
in bed wit my lil pup,1
karynkelbaugh try tell scott i sent you if he cannot help you he should know who can,1
camarilladesign there were buttons of anime characters on my bag and one of them was taken at the party i got em with friends in london,0
this song always gets me,0
mileycyrus miley please reply me that most important thing i wanna do is talking with you,0
why so serious porque to de exame,0
i am pushing the man i love further and further away yet i feel unable to be any different lobotomy please,0
help mee explain everything about twitter,0
my feet smell like death and rotten unwashed asshole,0
ddlovato are jb with you leak a picture to us please,1
chilling at home kids are in bed time for some relaxation,1
lunarticles twitter me as soon as you can,0
is starting the day with a hot shower and a cold can of diet coke,1
banditray great movie huh made me cry,0
forgot to bring my new favorite brand of tea to work,0
paul_zhuoxing maby he will give it you in your dreams,1
mtnlaurel i looked but have not found it yet it might be too soon maybe later today one hopes,1
watching gremlins with gregory,1
i dont wanna go to work and leave my happy little otalia bubble,0
going to show sell property today i wish the sun would shine through the clouds have a relaxing sunday,1
evilrobert fun though slightly awkward as it always is when you dont know anyone there not that i mind that really,1
recovering from saturday night out i wish i could go back to bed,0
ahaha neaveb youre like the funniest person i have ever met,1
gorgous day didnt have to babysit in the end being harrassed by the cat again this morning all good,1
mylovestory aw that sucksi really wanted to go to the ai tour this yearbut the closest was columbus and thats a little farplus school,0
leave her to heaven and my man godfrey two very different takes on whirlwind marriages,1
has her head full of a guy who knows nothing about what she is going through,0
settling down for the night with us weekly after a long and tiring day,1
look at this too,1
nthngprsnl he wants megan to be his momma,0
i have decided fuck everyone else i have gotta make him mine,1
that 20 minute nap turned into an hour and fifteen all too fast wish i could sleep longer,0
fuck central and their stupid ways,0
sabrina215 yikes77 tks but would not play on my ipod,0
got the monday blues,0
this is me in footloose,1
ea active is killing me i have not been this sore in awhile,0
wolfdesigns butchhauke oh well have to agree to thisagree on those roles i thought they were perfect representations of network,1
mfhorne i hated drag me to hell personally but have fun,1
tommcfly aww hes a famous wee kitten already lol who picked the name its dead sweet xx,1
itsro i am only a net friend i was only real in philly you will see the real me and not the net me this coming fall and next summer lol,1
patriciaco bleh there is nothing to do here if only pias here,0
oil price hike again,0
well the cruise suitcase is officially unpackedguess that means the trip is offically over lol,0
im so thankful for those who know how to make me smile,1
sad i had a link for my sunglasses but its to long they r vintage aviators that r hot pink at target fyi,0
homework work finals life is crazy lol hope everyone is doing well,1
mhnguyen i got my twitter to work hooray,1
mamalonglegs ahh well you had a much more interesting weekend than me,1
internet is slow until june 14th,0
ausadian98 ha that was not odd 87 was probably a good year it produced crosby after all and vl commodores he quite likes atlanta too,0
sniff still at the mercy of the evil scourge despite medication and squirts another trip to the doctor is in order,0
i want to read the book theif but i need to wait till tomrrow,0
jeff317 my manager has tried to go back to env he cannot get a hold of anyone,0
fuckcity happy bday man,1
zee_ali ha i stoled some prompty birthday pr0n is almost done,1
how cud i i feel upset still its been days weeks maybe months your not one in amillion your once in a lifetime,0
ohlivianatasha ill just steal him back i have pasta,1
thank you for the birthday wishes i feel all warm loved everything,1
unfortunately these heffas decided to take an impromptu mall trip without telling me,0
khalen it was good next time you get oohed you know where to go,1
night everyone only 63 days god bless ilovejb,1
says that this is earthquake weather that we are having,1
really really effing sick of studying already,0
i love my niece i really do but i want her to leave so i can watch royal pains i am such a bad aunt lol,0
italktoomuch92 buy one for us to take a picture of us enjoying them to send along with it so when she eats them its like were there,1
debbiefletcher your not answering me anymore did you told tom bout me his new step sister plz plz tell him good night mommy haha x,0
madridchanges were getting laundry together and well be down in a bit yay for bridezilla marathons,1
numbers i never was a fan of numbers i really do not like monthly accounts,0
e3 is happening right now and i am stuck in singapore,0
itslissa it is a five letter word i suppose some use it to trigger the end of one day in preperation of the start of the next lol,1
at work went to church had to leave early gay,0
pushplaycj okay so personally i am not too happy with this move from long island of yours,0
go on itunes and download the song i cowrote called shatterd on tynisha keli the chronicles of tk on warner bros records out today,1
dillonramage i am downloading season 1 as we speak yes please i would like to have six feet under on my zune before i go to texas,1
off to the royal academy,1
buttery nippleys,1
leighboi ive run out too just blend a cucumber and slap it on haha,0
darrenporter noon i always thought it was real about to be done your explanation makes sense though,1
i am happy with the way life is working out for me,1
just got back from the hairdressers,1
i just realized that i cannot just leave anytime soon hahaha my god confusing life i am so young yet i feel so old,1
gjvmanen nope kicked that habit more then a year ago,1
spiritualtramp this is london if you have an empty closet your rent it out as a room,1
i love my daddy he is soo amazing i love him ooh so much but i didnt know what to get him so he doesnt have a gift yet,0
jenaehorn what time the game got a rain delay and we only got to see one hour of it before leaving,0
had a good weekend with zachary,1
sharonxyi ouch my tummy bring me water,1
msdivamom memory then tragedy,1
went to target and they were sold out of the jonas brothers new album,0
today was a good day i gotta see my boo ainsley today,1
geektreschic i have this terrible habit of eating all of the cookies i backe before they are delivered how about you backe me cookies,0
aberro ok good deed of the day send me those workout dvds lmao,1
replacing coffee with chocolate milk no wonder morning headache still on,0
swaywithme1 you rock girl what a fantastic week for you,1
rinconmaribel ha estat un plaer haverte conegut,1
i hate grass dust and trees ugh my eyes and nose,0
jeremiahlee and add groups,1
paultheplumber yes not bad thanks been watching the football and chilling out,1
jeremywoertink you are in bad moods a lot lately,0
haveyouever listened to lights she is awesome goodnight now,1
has lots of work to do,0
kerusdotorg but it just looks so godawful makes me think of regurgitation and the bottom of a toilet bowl,0
i miss my little nephew he is in the dominican republic,0
whaat is up with all the rain where is summer,0
snazzytimes heyy im going to rochester how do you get vip tickets,1
bryankdawson i am soo jealous of you it is rainy and gross out today and a smoothie like that would make everything all better,0
bradgessler very true i was 1k and premiere exec for several years but now that i am a nobody i notice the boarding process more,1
loves when others pretend that they have not been told by others a version of whowhat you are then actually become upset when wrong,1
mum is leaving money for food tonight i am going to fuck my diet and get an extreme junk munch my belly is churning right now tho,0
feel free to thiscuss how retarted oceanup is do not thiss kevin jever,1
i do not know if i should work out tonight or if the sex was a work out enough ha ha i am kinda tired and achey,0
athena_goddess thats great,1
asa season is finished now going on to bobby sox,1
caitlinharvie i have been okayuntil on friday i got scared for my friend because she drunk alcohol and she is 13,0
i wake up right now i miss my dog,0
uuglyy weather out w karolinetylerr,0
woop i am excited i get to see all my girlies again tonight for jd except obviously the beautiful lincoln girlies rob and lauren 3,1
rpgmp3 morning would be much better if it started in the afternoon,1
oh my gosh so apparantly on the jonasbrothers facebook chat i missed they said mileycyrus was featured on the album yess,1
vamos ajudar gente tommcfly tom need some help and the first place too,1
joelsk_ i am with you popped collars are for want of a better term just plain wrong,1
pamfidler well there is my sista girl and my partner in christian crime,1
welcome to june summer is with us well and truly heatrash sunstroke the whole kit and kaboodle,1
i am a very sad girl sick as dog means no work lilac fest or music n motion for me,0
respectmileyc i was gonna vote for you but icant find you,0
vote for gi and get her back being miss twitterworld,1
congrats to all sunfeast 10k participants i missed the fun sunfeast10k lifemojo,0
jaylastarr what do we do if we want more lol missed you on thursday night the tweetup,0
back home now gonna grab a beer then have a play with the drum sampler on my old powerbook miss my baby xx,0
blue sky rocked the longmont tri so many awesome volunteers cheering us on go team jokaan,1
just rewatched jimmy fallen from last night and still love the hangover cures with bradley laughed so hard nearly peed my pants,0
geekgrly hey hawaii was great enjoy it out there how does things been for you still stayin busy with work,1
oh my god the rain never stops i aht rainy days huhuhuhu,0
going green garden pick of the week tip recycle tree stumps by converting them into flower pots,1
when is the sun coming back,0
i feel like listening to music by loading it at office i dunno if it is allowed though usb port is enabled pendrives are thisallowed,0
wahliaodotcom so you got your confirmation for your shoot,1
so excited for this weekend,1
has a serious procrastination problem,0
the upside of the insomniano internet scenario is i am almost fisnished bsg season 2 finally downside of that is ep 10 made me cry a lot,0
just interviewed by our department manager and the training coordinator new work status staff nurse one year and 6 months to go,1
cleaned up the new house plus aircon blinds are installed cannot wait till moving day i have a wood splintsp in my thumb it hurts,0
i made some popcorn,1
weetabix,1
thanks for the night loves thanks for the conversations strangers thanks for the gas and taco josh see ya thursday,1
quickentips nope not sad awesome i definitely have more money now that i have been using quicken to keep track of it all,1
abiface i miss you too and it has not even been 24 hours wtf i drove by your house like 6 times today it made me sad,0
headed off to the last choral performance until the next year school went by fast this year,0
vyzion360 good morning to you thanks for sharing with us it is grey and rainy and cold where i am today,0
lacouvee it is been tough but i have a couple of job interviews this week i am trying to remain as positive as possible,1
wishes youll be mine please i hurt to feel like this,0
doing my morning promise,1
i dont like getting up early or going to bed early hmph what shall i have for breakfast,0
first barbecue of the year fb,1
asio do you guys honour noundiessunday,1
laundrylane we do not have them out here does it really come in a bucket,1
going to have some lunch see yall at the french exam bon chance xx,1
my dp in twitpic would not show suxx,0
my 2 year old niece keep waking me up,0
rafamejia i am sure it is just you and not the 80 degree weather and 79 humidity,1
raymondroker me too i had both claritin and allegra in the span of an hour and my nose is still running,0
msi are sending another u115 over though kudos msi speaking to support this is the first reported u115 problem were just unlucky,0
gah i miss u you kept popping into my head when i was doing practice anxiety tasks for music sux that i cannot txt you,0
saucychp whatever lad maths is stupid i would much rather be watching britains next top model not long till loose women,1
smh my mood be switchin like crazy not in the mood feelin like kila21,0
in math and really just want to leave and get some coffee perhaps a french vanilla,1
the sun is here beautiful day i am extremely happy today me and my guitar tonight,1
another sick day at the hooeyspewer timepilot house this is getting ridiculous,0
ughh i finished the last book it was so good but now its over what am i gonna do i feel really crap now,0
i hate looking for a job but i need moneey,0
lisawiy they are cool why are you so good at writing,0
128 days till beyonce,1
misskatieprice oh you havent split have you i love youtoo think your both great hope your k xx,0
twitter sem papagaio ã triste,0
abstheoreo i know it is so sad you did not even have bob very long,0
katyperry you totally rocked the emirates good show ol chap good show xx,1
thanksrobinmckee for the starbucks,1
rockbigdave yeh i am planning on seeing fast and furious as well,1
frankiethesats yaa love you and dougie as a couple happiness,1
i just came back from downtown and now barbequing with my friends,1
megalin15 oh i am sorry are you doing anything at all tonight,0
hermorrine hahaha i hate that i got sketchy ass ones a while ago like ones that scared me something about tying someone up wtf,1
urbanwriters marvellous and likewise,1
imulleh your grandmon has a good day to have birthday on,1
phillprice i like it all those links make it a great entry to thiscovering new photophiles great job,1
ughh the only thing i hate about springsummer is the grass grows and i have to cut it,0
wishes she had a working bathtub so she can take a relaxing bath,0
a wonderful site i hope that you will go look at it,1
i feel lonely,0
shegotitshebadd no good i just dont sleep lol and yes you did,1
lenasvenson i am terribly envious enjoy your vacation lena well miss you on the show,1
i have a kidney infection oh joy,0
ugghh 2 hours of class and 1 hour of battery wow what a time to forget my charger,0
lr fish tanks why are they soo exspensive why why why they just like sheet glass stuck with silicone,0
brundle_fly thanks for the link i am looking forward to seeing why filos is so excited about chrome on the mac,1
goldilocks was delicious the show was so awesome i would definitely relive that show if i could,1
wishing life was different,0
hey blergisphere micawave you rock,1
sgflutegirl so sorry to hear that,0
i just almost made the biggest booboo of my life,0
whered all the sunshine go it is pretty grim out there today,0
in process of uploading all my sharon photos will let you all know when available to see,1
i wish i knew if i was working tonight or not doesnt help that no one is answering the phone,0
tyamdm youre awesome yam,1
is trying to keep his head above water legos,0
graphic warning dog was found tied to a truck and dragged,0
ugh i didnt eat dinner yet why is my mother soo slow at cooking good my tummy rumbling,0
johnl973 oo thats sucky,0
ddlovato hey where are you know vacationloldid you enjoy brazilians hehehope you enjoy your free time,1
johnsgunn hope you guys have fun,1
common let us work,0
middleclassgirl if they are putting a blind guy on dancing with the stars anything is possible,1
catherineeharri me too,0
